City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tasiilaq,65.6145,-37.6368,30.2,80,100,31.74,GL,1635169640
Rikitea,-23.1203,-134.9692,74.28,75,100,18.16,PF,1635169642
Arraial do Cabo,-22.9661,-42.0278,75.16,73,75,6.91,BR,1635169643
Port Alfred,-33.5906,26.891,67.08,70,35,23.02,ZA,1635169645
Leningradskiy,69.3833,178.4167,5.7,93,100,10.67,RU,1635169647
Mapimí,25.8167,-103.85,57.18,36,1,2.04,MX,1635169648
New Norfolk,-42.7826,147.0587,49.5,71,76,1.7,AU,1635169481
Ninghai,29.2892,121.4247,64.72,84,100,3.58,CN,1635169649
Linxia Chengguanzhen,35.6003,103.2064,39.04,97,100,3.38,CN,1635169649
Clyde River,70.4692,-68.5914,21.43,79,90,5.75,CA,1635169649
Mar del Plata,-38.0023,-57.5575,69.82,47,0,23.0,AR,1635169586
Dikson,73.5069,80.5464,12.72,90,100,19.69,RU,1635169651
Puerto Escondido,15.85,-97.0667,74.23,73,1,8.05,MX,1635169652
Hervey Bay,-25.2986,152.8535,70.02,91,100,9.46,AU,1635169653
Saint-Philippe,-21.3585,55.7679,78.39,77,34,11.86,RE,1635169654
Ushuaia,-54.8,-68.3,35.22,93,90,23.02,AR,1635169656
Bredasdorp,-34.5322,20.0403,69.28,52,7,17.27,ZA,1635169658
Castro,-24.7911,-50.0119,63.99,74,94,6.38,BR,1635169659
Limbang,4.75,115.0,80.06,95,100,1.77,MY,1635169588
Saldanha,-33.0117,17.9442,78.85,61,0,13.87,ZA,1635169661
Atuona,-9.8,-139.0333,76.1,81,98,15.52,PF,1635169662
Severo-Kuril'sk,50.6789,156.125,38.52,77,19,12.64,RU,1635169664
Bira,49.0,132.4667,39.18,69,38,2.01,RU,1635169665
Kalmunai,7.4167,81.8167,80.65,77,98,2.73,LK,1635169665
Luan,46.3592,6.9759,58.64,68,9,3.0,CH,1635169665
Roald,62.5833,6.1333,52.72,82,75,6.91,NO,1635169667
Touros,-5.1989,-35.4608,85.1,55,15,18.01,BR,1635169668
Wanxian,30.8039,108.3897,65.62,72,100,0.6,CN,1635169505
Tuktoyaktuk,69.4541,-133.0374,30.2,100,90,11.5,CA,1635169670
Porto-Novo,6.4965,2.6036,87.62,67,96,7.78,BJ,1635169671
Hasaki,35.7333,140.8333,59.4,72,100,23.51,JP,1635169672
São Filipe,14.8961,-24.4956,79.16,72,99,15.61,CV,1635169673
Balestrand,61.2076,6.5334,51.8,98,100,3.8,NO,1635169674
Plouzané,48.3833,-4.6167,62.92,74,75,12.66,FR,1635169675
Fortuna,40.5982,-124.1573,51.37,75,75,7.0,US,1635169676
Ryōtsu-minato,38.0833,138.4333,60.71,70,100,1.54,JP,1635169677
East London,-33.0153,27.9116,70.74,60,40,23.02,ZA,1635169677
Port Blair,11.6667,92.75,81.48,80,11,5.26,IN,1635169679
Hobyo,5.3505,48.5268,82.4,68,41,9.91,SO,1635169679
Norman Wells,65.282,-126.8329,23.04,86,90,3.44,CA,1635169680
Cherskiy,68.75,161.3,-17.37,99,95,2.06,RU,1635169682
Lavrentiya,65.5833,-171.0,19.33,79,100,10.25,RU,1635169683
Narsaq,60.9167,-46.05,26.82,54,4,2.82,GL,1635169685
Nome,64.5011,-165.4064,26.67,80,75,9.22,US,1635169686
Nikolskoye,59.7035,30.7861,49.87,83,100,11.45,RU,1635169688
Salamiyah,35.0113,37.0532,75.76,28,33,7.94,SY,1635169689
Bobo-Dioulasso,11.1771,-4.2979,88.25,58,20,8.05,BF,1635169670
Strezhevoy,60.7333,77.5889,24.78,89,8,2.46,RU,1635169690
Morehead,37.2711,-87.1764,62.31,97,90,1.01,US,1635169692
Bathsheba,13.2167,-59.5167,84.81,65,40,28.77,BB,1635169692
Upernavik,72.7868,-56.1549,14.43,65,4,6.17,GL,1635169693
George Town,5.4112,100.3354,83.89,86,40,1.01,MY,1635169695
Salalah,17.0151,54.0924,82.49,74,0,12.66,OM,1635169695
Viedma,-40.8135,-62.9967,70.39,23,2,25.55,AR,1635169696
Hilo,19.7297,-155.09,71.8,92,90,4.61,US,1635169472
Scarborough,54.2797,-0.4044,56.77,74,67,1.99,GB,1635169698
Carupano,10.6678,-63.2585,79.97,85,100,8.9,VE,1635169699
Rio Grande,-32.035,-52.0986,77.95,50,0,14.07,BR,1635169700
Sur,22.5667,59.5289,83.91,61,0,3.24,OM,1635169701
Tateyama,34.9833,139.8667,59.05,88,75,12.66,JP,1635169629
Bengkulu,-3.8004,102.2655,76.3,89,100,4.18,ID,1635169703
Lebu,-37.6167,-73.65,56.25,77,46,8.55,CL,1635169703
Busselton,-33.65,115.3333,47.05,65,49,6.22,AU,1635169704
Margate,51.3813,1.3862,61.7,73,21,1.99,GB,1635169705
Cabedelo,-6.9811,-34.8339,86.67,58,25,15.97,BR,1635169706
Chapais,49.7834,-74.8492,33.58,75,57,5.68,CA,1635169707
Palmer,42.1584,-72.3287,53.65,86,90,6.91,US,1635169708
Ahipara,-35.1667,173.1667,56.95,92,2,1.07,NZ,1635169709
Khatanga,71.9667,102.5,5.9,96,100,10.45,RU,1635169710
Ketchikan,55.3422,-131.6461,45.07,76,40,9.22,US,1635169711
Prince Rupert,54.3161,-130.3201,49.69,78,95,1.14,CA,1635169713
Sosnovo-Ozerskoye,52.5249,111.5418,30.36,77,7,12.01,RU,1635169714
Kaitangata,-46.2817,169.8464,50.61,94,94,6.49,NZ,1635169716
Hithadhoo,-0.6,73.0833,83.12,72,98,15.79,MV,1635169716
Necoclí,8.4234,-76.786,81.97,79,68,4.76,CO,1635169716
Longyearbyen,78.2186,15.6401,22.84,63,75,26.46,SJ,1635169717
Saskylakh,71.9167,114.0833,-18.2,100,98,1.68,RU,1635169718
Zyryanka,65.75,150.85,-0.2,97,86,1.63,RU,1635169720
Isangel,-19.55,169.2667,73.67,83,41,10.42,VU,1635169722
Siavonga,-16.5382,28.7088,97.63,28,11,10.33,ZM,1635169722
Odienné,9.51,-7.5692,84.92,60,72,4.83,CI,1635169723
Ullerslev,55.3617,10.6519,52.84,84,100,11.56,DK,1635169725
Eureka,40.8021,-124.1637,51.64,95,79,5.01,US,1635169726
Ribeira Grande,38.5167,-28.7,72.0,68,20,6.91,PT,1635169727
Jalingo,8.8833,11.3667,94.8,41,74,3.02,NG,1635169728
Olafsvik,64.8945,-23.7142,36.95,71,100,21.56,IS,1635169730
Onega,63.9061,38.1404,30.29,87,100,9.4,RU,1635169731
Zamānia,25.4333,83.5667,77.54,52,53,4.68,IN,1635169732
Souillac,-20.5167,57.5167,77.38,65,40,13.8,MU,1635169732
Santa Barbara,34.7333,-120.0343,54.82,95,90,3.44,US,1635169734
Yüksekova,37.5736,44.2872,58.75,21,40,17.27,TR,1635169735
Wahiawā,21.5028,-158.0236,73.76,83,90,0.0,US,1635169736
Banepā,27.6298,85.5214,64.72,88,20,4.61,NP,1635169738
Port Lincoln,-34.7333,135.8667,58.17,77,3,16.67,AU,1635169738
Tolaga Bay,-38.3667,178.3,55.87,94,6,4.09,NZ,1635169738
Lindi,-10.0,39.7167,83.88,66,7,9.19,TZ,1635169739
Wukari,7.85,9.7833,95.52,40,14,3.06,NG,1635169740
Perdões,-21.0908,-45.0914,77.04,60,96,10.96,BR,1635169742
Northam,51.0333,-4.2167,61.43,74,25,15.46,GB,1635169743
Arkhangelsk,64.5401,40.5433,30.31,86,40,2.24,RU,1635169500
Codrington,-38.2667,141.9667,40.6,90,0,4.88,AU,1635169744
Airai,-8.9266,125.4092,63.36,89,99,0.13,TL,1635169745
Celestún,20.8667,-90.4,81.09,81,34,8.57,MX,1635169745
Farah,32.5,62.5,63.95,12,1,4.25,AF,1635169746
Motygino,58.1831,94.7592,43.47,89,100,15.41,RU,1635169747
Jamestown,42.097,-79.2353,61.92,82,90,8.05,US,1635169749
Eydhafushi,5.1033,73.0708,81.68,78,98,12.21,MV,1635169750
Xichang,27.8964,102.2634,57.9,85,12,2.64,CN,1635169527
Hirara,24.8,125.2833,76.82,69,26,23.29,JP,1635169750
Pacific Grove,36.6177,-121.9166,57.31,92,90,3.0,US,1635169750
Tautira,-17.7333,-149.15,73.42,77,69,0.18,PF,1635169751
Nantucket,41.2835,-70.0995,58.01,86,100,18.9,US,1635169752
Vashkivtsi,48.3849,25.5102,54.72,35,5,12.35,UA,1635169753
Wexford,52.3342,-6.4575,58.55,66,53,13.09,IE,1635169754
Rūdbār,30.15,62.6,75.96,17,49,7.63,AF,1635169756
Ozernovskiy,51.5,156.5167,39.67,73,90,11.27,RU,1635169757
Maniwaki,46.3834,-75.966,39.74,86,80,4.61,CA,1635169759
Istok,42.7808,20.4875,58.12,58,5,7.54,XK,1635169760
Poum,-20.2333,164.0167,74.48,71,26,15.03,NC,1635169761
Henties Bay,-22.116,14.2845,65.86,69,0,10.83,NA,1635169761
Ponta do Sol,32.6667,-17.1,75.13,65,89,2.93,PT,1635169763
Grindavik,63.8424,-22.4338,41.47,81,75,5.75,IS,1635169764
Chipinge,-20.1883,32.6236,77.61,43,61,7.9,ZW,1635169765
Paamiut,61.994,-49.6678,29.82,43,0,13.2,GL,1635169767
Qaqortoq,60.7167,-46.0333,27.1,62,8,3.74,GL,1635169768
Kutum,14.2,24.6667,88.23,15,80,8.61,SD,1635169770
Kjøpsvik,68.097,16.3742,41.16,95,100,6.82,NO,1635169771
Sterling,39.0062,-77.4286,68.25,88,75,11.99,US,1635169772
Teahupoo,-17.8333,-149.2667,67.96,77,81,1.92,PF,1635169773
Kavaratti,10.5669,72.642,82.58,76,32,11.74,IN,1635169775
Waipawa,-41.4122,175.5153,57.83,91,48,5.79,NZ,1635169775
Cerrito,6.8432,-72.694,54.79,71,64,1.05,CO,1635169775
Broken Hill,-31.95,141.4333,60.51,21,0,10.36,AU,1635169714
Raja,8.4596,25.678,91.02,46,100,2.93,SS,1635169777
Bethel,41.3712,-73.414,66.94,93,90,8.05,US,1635169778
Saýat,38.7839,63.8803,66.07,18,100,7.05,TM,1635169779
Puerto Ayora,-0.7393,-90.3518,67.55,94,60,7.0,EC,1635169781
Dingle,10.9995,122.6711,75.63,91,100,4.52,PH,1635169768
Kailua,21.4022,-157.7394,77.02,76,40,21.3,US,1635169782
Sitka,57.0531,-135.33,39.09,75,40,0.0,US,1635169784
León,21.1167,-101.6667,64.33,55,100,2.06,MX,1635169785
Havelock,34.8791,-76.9013,71.94,92,100,1.99,US,1635169786
Kyshtovka,56.555,76.6271,41.0,77,100,5.26,RU,1635169787
Honiara,-9.4333,159.95,77.72,88,97,4.43,SB,1635169788
Jalu,29.0331,21.5482,89.96,19,26,10.71,LY,1635169789
Port Elizabeth,-33.918,25.5701,72.1,64,20,14.97,ZA,1635169790
Yangi Marg`ilon,40.4272,71.7189,59.72,26,0,0.0,UZ,1635169791
Malakal,9.5334,31.6605,97.05,28,35,3.94,SS,1635169576
Lorengau,-2.0226,147.2712,81.3,78,25,5.55,PG,1635169792
Comodoro Rivadavia,-45.8667,-67.5,57.06,26,20,34.52,AR,1635169792
Luwuk,-0.9516,122.7875,80.04,89,92,2.73,ID,1635169793
Road Town,18.4167,-64.6167,85.19,79,40,8.05,VG,1635169793
Chernyshevskiy,63.0128,112.4714,27.18,93,66,8.66,RU,1635169794
Semnan,35.5729,53.3971,60.67,26,0,3.06,IR,1635169796
Carnarvon,-24.8667,113.6333,66.27,63,90,19.57,AU,1635169680
Fare,-16.7,-151.0167,77.45,82,100,6.06,PF,1635169797
Kondopoga,62.2057,34.2614,40.68,99,100,3.27,RU,1635169799
Lincoln,40.8,-96.667,44.65,94,90,1.99,US,1635169800
Kavieng,-2.5744,150.7967,81.93,75,8,6.53,PG,1635169801
Richards Bay,-28.783,32.0377,65.37,81,100,8.5,ZA,1635169527
Diré,12.2833,-10.9667,90.5,52,36,3.89,ML,1635169803
Hamilton,39.1834,-84.5333,59.38,94,90,1.01,US,1635169804
Saint Paul Harbor,57.79,-152.4072,40.44,89,100,5.53,US,1635169805
Chui,-33.6971,-53.4616,74.98,39,0,18.9,UY,1635169806
Tiksi,71.6872,128.8694,0.3,98,100,4.07,RU,1635169808
Calama,-22.4667,-68.9333,63.09,6,0,19.57,CL,1635169809
Dzhebariki-Khaya,62.2167,135.8,24.31,98,98,2.1,RU,1635169811
Vestmannaeyjar,63.4427,-20.2734,45.59,93,90,5.75,IS,1635169812
Bambous Virieux,-20.3428,57.7575,77.25,65,40,13.8,MU,1635169813
Vila Velha,-20.3297,-40.2925,75.15,78,90,16.11,BR,1635169815
Kilindoni,-7.9139,39.6668,81.03,73,5,11.68,TZ,1635169816
Arlit,18.7369,7.3853,101.35,7,0,6.24,NE,1635169818
Santa Cruz de Barahona,18.2085,-71.1008,78.62,78,20,6.91,DO,1635169819
Bulanash,57.2783,61.9965,37.96,82,100,4.38,RU,1635169820
Shaoyang,27.2315,111.4525,61.88,68,77,3.31,CN,1635169589
Port Hardy,50.6996,-127.4199,53.6,81,75,27.63,CA,1635169822
Shuyskoye,59.3736,41.0305,30.51,92,100,9.84,RU,1635169823
Tiznit Province,29.5833,-9.5,78.48,31,0,8.99,MA,1635169824
Saint Anthony,45.0205,-93.218,38.35,86,1,1.01,US,1635169826
Coruripe,-10.1256,-36.1756,85.48,54,4,14.72,BR,1635169826
Provideniya,64.3833,-173.3,15.66,87,55,7.4,RU,1635169828
Mergen,49.1833,125.2167,41.56,59,8,6.51,CN,1635169829
Santa Maria,-29.6842,-53.8069,74.5,38,0,6.91,BR,1635169830
Cidreira,-30.1811,-50.2056,71.92,47,0,4.56,BR,1635169832
Evanston,42.0411,-87.6901,49.46,94,90,5.99,US,1635169833
Presidente Epitácio,-21.7633,-52.1156,77.27,65,83,6.24,BR,1635169834
Orange Cove,36.6244,-119.3137,64.45,80,100,9.8,US,1635169835
Itupiranga,-5.1347,-49.3267,88.12,64,53,2.66,BR,1635169836
Ust-Tsilma,65.441,52.1498,25.16,95,98,4.14,RU,1635169838
Rauma,61.1272,21.5113,46.44,86,100,15.66,FI,1635169839
Kulhudhuffushi,6.6221,73.07,81.66,79,100,9.6,MV,1635169840
Torbay,47.6666,-52.7314,42.67,89,90,26.46,CA,1635169840
Boyolangu,-8.1181,111.8935,78.21,77,90,5.64,ID,1635169842
Mozarlândia,-14.7447,-50.5706,85.64,53,100,4.18,BR,1635169842
Pevek,69.7008,170.3133,0.99,97,100,4.81,RU,1635169843
Avarua,-21.2078,-159.775,73.45,64,75,8.05,CK,1635169845
São Gabriel da Cachoeira,-0.1303,-67.0892,75.0,94,90,4.61,BR,1635169846
Guerrero Negro,27.9769,-114.0611,62.49,83,4,5.86,MX,1635169848
Vila Franca do Campo,37.7167,-25.4333,70.21,70,88,1.88,PT,1635169849
San Patricio,28.017,-97.5169,80.89,86,16,5.08,US,1635169850
Synya,65.3718,58.0387,25.79,97,100,3.96,RU,1635169851
Nanortalik,60.1432,-45.2371,31.48,66,38,8.99,GL,1635169852
Beira,-19.8436,34.8389,80.1,68,86,11.23,MZ,1635169854
Buraidah,26.326,43.975,93.65,14,0,4.36,SA,1635169855
Acaraú,-2.8856,-40.12,88.66,52,39,18.03,BR,1635169857
Loíza,18.4313,-65.8802,86.97,75,40,5.75,PR,1635169858
Morondava,-20.2833,44.2833,81.14,65,0,19.86,MG,1635169859
Baghdad,33.3406,44.4009,85.91,16,0,10.36,IQ,1635169860
Laguna,38.421,-121.4238,57.02,95,90,4.0,US,1635169862
Maceió,-9.6658,-35.7353,90.84,51,40,5.75,BR,1635169863
Yakeshi,49.2833,120.7333,31.91,89,33,6.24,CN,1635169864
Garissa,-0.4536,39.6401,94.01,36,89,18.95,KE,1635169864
Mount Isa,-20.7333,139.5,80.37,34,93,4.61,AU,1635169866
Fairbanks,64.8378,-147.7164,27.23,92,90,0.0,US,1635169588
Mayo,38.8876,-76.5119,69.98,85,1,1.01,US,1635169866
Nuuk,64.1835,-51.7216,20.88,57,0,21.0,GL,1635169867
Cabras,39.93,8.5314,70.92,59,100,7.52,IT,1635169869
Belyy Yar,53.6039,91.3903,48.09,66,0,6.71,RU,1635169870
Panevezys,55.7333,24.35,50.92,59,83,13.6,LT,1635169871
Ceres,37.5949,-120.9577,57.11,95,100,8.41,US,1635169873
Talnakh,69.4865,88.3972,22.8,95,100,11.95,RU,1635169775
Natal,-5.795,-35.2094,84.85,70,75,17.27,BR,1635169874
Ixtapa,20.7,-105.2,78.22,79,100,1.01,MX,1635169875
Nago,26.5881,127.9761,73.56,72,63,16.02,JP,1635169876
Tuatapere,-46.1333,167.6833,54.1,98,100,1.7,NZ,1635169876
Caucayá,-0.1934,-74.7819,83.62,68,92,7.07,CO,1635169877
Port Said,31.2565,32.2841,76.98,57,20,5.75,EG,1635169878
Micheweni,-4.9667,39.8333,82.67,67,87,7.65,TZ,1635169879
Sorong,-0.8833,131.25,81.54,80,100,12.33,ID,1635169881
Yangambi,0.8102,24.4336,90.91,42,35,0.74,CD,1635169881
Safi,32.2994,-9.2372,71.62,70,97,17.58,MA,1635169882
Las Palmas,28.4204,-14.0131,74.19,65,20,11.5,ES,1635169884
Ponta Delgada,37.7333,-25.6667,70.52,73,20,9.22,PT,1635169885
Port Macquarie,-31.4333,152.9167,62.56,81,5,6.17,AU,1635169807
Mount Gambier,-37.8333,140.7667,40.91,87,0,6.91,AU,1635169886
Dunedin,-45.8742,170.5036,55.8,94,81,3.0,NZ,1635169734
Vanimo,-2.6741,141.3028,78.94,83,96,3.58,PG,1635169887
Puerto Maldonado,-12.6,-69.1833,68.4,77,90,2.3,PE,1635169887
Bad Reichenhall,47.7333,12.8833,51.6,71,0,3.44,DE,1635169889
Meulaboh,4.1363,96.1285,77.02,89,98,2.42,ID,1635169890
Thompson,55.7435,-97.8558,26.76,93,75,3.44,CA,1635169891
Russell,32.3502,-85.1999,69.08,85,90,3.44,US,1635169892
Ostrovnoy,68.0531,39.5131,20.8,89,29,6.87,RU,1635169893
Basco,20.4487,121.9702,79.83,79,49,22.12,PH,1635169894
Umluj,25.0213,37.2685,82.09,57,0,9.62,SA,1635169894
Mehamn,71.0357,27.8492,22.91,82,17,13.47,NO,1635169896
Bontang,0.1333,117.5,79.61,83,66,5.64,ID,1635169776
Bauchi,10.5,10.0,97.54,16,29,7.76,NG,1635169897
Genhe,50.7833,121.5167,30.65,89,91,2.93,CN,1635169898
Faanui,-16.4833,-151.75,78.6,77,100,7.63,PF,1635169899
Iralaya,15.0,-83.2333,80.69,83,10,10.33,HN,1635169900
Khāsh,28.2211,61.2158,68.49,40,69,5.26,IR,1635169901
Saint George,37.1041,-113.5841,63.32,44,1,4.0,US,1635169902
Kashgar,39.4547,75.9797,54.61,30,0,6.71,CN,1635169822
Tilichiki,60.4667,166.1,13.01,98,100,3.36,RU,1635169903
Tereze,43.9361,42.4434,32.5,93,100,3.69,RU,1635169905
La Macarena,2.1837,-73.7849,84.76,61,73,8.03,CO,1635169906
Stillwater,36.1156,-97.0584,54.93,92,1,3.44,US,1635169907
Hue,16.4667,107.6,71.71,94,75,2.3,VN,1635169810
Hambantota,6.1241,81.1185,78.8,87,100,18.25,LK,1635169908
Wanning,18.8003,110.3967,71.6,86,73,9.37,CN,1635169909
Bilma,18.6853,12.9164,97.83,9,4,6.26,NE,1635169909
Vallenar,-28.5708,-70.7581,68.27,49,0,6.08,CL,1635169910
Den Helder,52.9599,4.7593,57.18,89,75,18.01,NL,1635169911
Bud,39.447,-86.1758,59.43,94,94,15.1,US,1635169913
Amurzet,47.6967,131.0981,45.07,61,97,4.68,RU,1635169913
Hofn,64.2539,-15.2082,41.02,56,0,14.97,IS,1635169914
Sarkand,45.41,79.9186,50.11,46,0,3.85,KZ,1635169915
Rāmhormoz,31.28,49.6035,87.87,12,0,6.98,IR,1635169916
Hong Kong,22.2855,114.1577,76.32,68,100,4.0,HK,1635169741
Juanjuí,-7.1779,-76.7314,84.11,79,75,4.61,PE,1635169917
Agirish,61.9247,63.0231,27.32,75,93,6.08,RU,1635169919
Coyhaique,-45.5752,-72.0662,47.01,66,75,12.66,CL,1635169920
Ambilobe,-13.2,49.05,88.23,40,23,11.9,MG,1635169921
Tiarei,-17.5333,-149.3333,73.42,77,69,3.76,PF,1635169923
Amapá,1.0,-52.0,91.04,46,19,5.19,BR,1635169924
Nāwa,27.0167,75.0,75.94,37,0,11.43,IN,1635169926
Quatre Cocos,-20.2078,57.7625,77.11,72,24,14.47,MU,1635169926
La Santisima Trinidad,-14.8333,-64.9,80.37,40,100,2.42,BO,1635169927
Fukuechō,32.6881,128.8419,67.87,55,1,14.79,JP,1635169929
Caravelas,-17.7125,-39.2481,81.0,79,100,3.71,BR,1635169929
Barra de Tecoanapa,16.5167,-98.75,77.23,86,91,4.05,MX,1635169930
Cabo San Lucas,22.8909,-109.9124,77.5,81,5,10.0,MX,1635169931
Vilcún,-38.65,-72.2333,50.74,78,94,2.08,CL,1635169932
Mahébourg,-20.4081,57.7,77.29,65,40,13.8,MU,1635169934
Basavana Bāgevādi,16.5833,75.9667,80.02,45,100,13.33,IN,1635169935
San Quintín,30.4833,-115.95,60.44,82,96,7.99,MX,1635169935
Marabu,4.4148,114.0089,82.54,83,40,2.3,MY,1635169936
Korla,41.7597,86.1469,52.39,35,0,5.14,CN,1635169936
Portland,45.5234,-122.6762,57.2,64,75,5.01,US,1635169936
Lompoc,34.6391,-120.4579,61.57,88,90,12.66,US,1635169937
Kristinestad,62.2743,21.376,46.0,91,100,16.26,FI,1635169939
Garoowe,8.4054,48.4845,89.89,28,32,6.58,SO,1635169940
Herat Province,34.5,62.0,61.79,17,58,2.71,AF,1635169941
Mariehamn,60.0973,19.9348,48.06,76,90,9.22,AX,1635169943
Pelym,61.0108,61.9978,28.72,77,100,5.79,RU,1635169944
Khvoynaya,58.9,34.5333,38.75,89,100,12.39,RU,1635169945
Ratnagiri,16.9833,73.3,79.3,81,18,11.43,IN,1635169947
Valparaíso,-33.0393,-71.6273,75.43,47,0,5.75,CL,1635169947
Esperance,-33.8667,121.9,55.24,86,100,20.89,AU,1635169948
Mogadouro,41.3403,-6.7119,63.79,38,56,5.79,PT,1635169949
Kiama,-34.6833,150.8667,58.48,80,51,1.01,AU,1635169950
Tual,-5.6667,132.75,83.3,70,72,2.86,ID,1635169951
Vadsø,70.0744,29.7487,26.76,93,40,5.75,NO,1635169951
Bonavista,48.6499,-53.1147,43.12,84,100,33.96,CA,1635169952
Khovd,48.0056,91.6419,36.41,45,12,2.01,MN,1635169954
Katsuura,35.1333,140.3,59.14,77,100,24.65,JP,1635169954
Constitución,-35.3333,-72.4167,62.96,62,60,14.88,CL,1635169954
Turbat,26.0023,63.044,80.62,28,0,12.35,PK,1635169955
Kieta,-6.2167,155.6333,78.57,83,55,3.89,PG,1635169957
Davlekanovo,54.2215,55.0343,39.22,91,100,11.12,RU,1635169958
Sabang,5.8933,95.3214,81.88,78,93,11.16,ID,1635169959
Raudeberg,61.9875,5.1352,50.67,92,81,8.99,NO,1635169959
Yasnogorsk,54.4803,37.6975,32.27,64,63,7.05,RU,1635169961
Vostok,46.4856,135.8833,33.49,77,1,4.97,RU,1635169962
Aksarka,66.5606,67.7975,19.72,92,100,5.41,RU,1635169962
Valdivia,-39.8142,-73.2459,57.29,92,100,5.14,CL,1635169964
Moose Jaw,50.4001,-105.5344,39.56,90,90,27.63,CA,1635169965
Trelew,-43.249,-65.3051,63.55,19,11,30.91,AR,1635169966
Te Anau,-45.4167,167.7167,53.65,96,100,0.22,NZ,1635169967
Luanda,-8.8368,13.2343,75.2,88,75,5.75,AO,1635169901
Karlstad,59.3793,13.5036,50.56,87,75,10.36,SE,1635169968
Gornopravdinsk,60.05,69.9,36.52,95,100,6.91,RU,1635169969
Nortelândia,-14.4547,-56.8028,78.96,71,99,1.19,BR,1635169971
Haines Junction,60.7522,-137.5108,12.15,92,100,1.14,CA,1635169972
Mossamedes,-15.1961,12.1522,74.03,64,40,14.97,AO,1635169973
Denpasar,-8.65,115.2167,82.06,74,40,2.3,ID,1635169947
Madang,-5.2246,145.7966,78.71,84,98,1.16,PG,1635169975
Yenotayevka,47.2456,47.0281,46.29,43,75,16.22,RU,1635169975
Orangeburg,33.4918,-80.8557,70.83,89,1,0.0,US,1635169976
North Bend,43.4065,-124.2243,55.85,89,40,13.8,US,1635169977
Lüderitz,-26.6481,15.1594,65.32,66,4,5.88,NA,1635169978
Aromashevo,56.8602,68.6375,40.66,80,100,5.3,RU,1635169980
Matara,5.9485,80.5353,76.95,94,100,6.91,LK,1635169981
Sistranda,63.7256,8.834,52.9,81,100,10.27,NO,1635169981
Berlevåg,70.8578,29.0864,22.95,74,20,2.3,NO,1635169983
Barcelona,41.3888,2.159,75.45,74,20,3.0,ES,1635169802
Mookane,-23.688,26.6595,76.89,45,23,20.22,BW,1635169984
Emerald,-23.5333,148.1667,68.14,84,75,12.66,AU,1635169844
